id,skin_name,weapon_name,stat_trak,factory_new_price,quality,price_bin
173,Oxide Blaze,Glock-18,1,1.59,2,0
174,Brass,Glock-18,0,91.69,3,3
175,Reactor,Glock-18,0,12.02,2,2
176,Ironwork,Glock-18,1,6.56,2,1
177,Gamma Doppler,Glock-18,0,70.77,5,3
178,Bunsen Burner,Glock-18,1,6.98,2,1
181,Pulse,P2000,1,3.46,2,1
182,Urban Hazard,P2000,1,0.82,2,0
183,Grassland Leaves,P2000,0,176.65,1,3
184,Lifted Spirits,P2000,1,0.76,2,0
185,Scorpion,P2000,0,6.08,3,1
186,Woodsman,P2000,1,25.88,3,2
187,Coach Class,P2000,0,20.63,1,2
188,Granite Marbleized,P2000,0,0.26,1,0
189,Amber Fade,P2000,0,8.6,3,2
190,Corticera,P2000,1,54.16,4,3
191,Ocean Foam,P2000,1,408.56,4,4
192,Imperial,P2000,1,1.36,2,0
193,Gnarled,P2000,1,0.97,2,0
194,Obsidian,P2000,1,19.12,3,2
195,Dispatch,P2000,0,23.54,2,2
196,Fire Elemental,P2000,1,231.99,5,4
198,Chainmail,P2000,0,120.63,2,3
199,Red FragCam,P2000,1,6.19,2,1
200,Space Race,P2000,0,8.49,3,2
201,Handgun,P2000,1,16.91,3,2
202,Pathfinder,P2000,0,22.48,1,2
203,Imperial Dragon,P2000,1,24.99,4,2
204,Ivory,P2000,1,3.09,2,1
205,Panther Camo,P2000,0,3.34,1,1
207,Acid Etched,P2000,1,6.8,3,1
208,Wicked Sick,P2000,1,30.46,4,3
209,Oceanic,P2000,1,1.76,2,1
210,Turf,P2000,1,3.75,2,1
211,X-Ray,P250,1,3.11,3,1
212,Vino Primo,P250,0,8.89,3,2
213,Inferno,P250,1,4.59,3,1
214,Modern Hunter,P250,0,441.38,2,4
215,Supernova,P250,1,4.76,3,1
216,Digital Architect,P250,0,55.1,3,3
217,Muertos,P250,1,28.11,4,2
218,Dark Filigree,P250,0,7.39,1,2
219,See Ya Later,P250,1,42.29,5,3
220,Mint Kimono,P250,0,5.09,0,1
221,Bone Mask,P250,0,9.51,0,2
222,Re.built,P250,1,1.17,2,0
223,Undertow,P250,1,66.63,4,3
224,Mehndi,P250,1,81.72,4,3
225,Metallic DDPAT,P250,0,0.15,1,0
226,Nuclear Threat,P250,0,641.53,3,4
227,Nevermore,P250,1,3.81,3,1
228,Forest Night,P250,0,1.23,0,0
230,Cyber Shell,P250,1,3.66,3,1
231,Contamination,P250,0,2.8,1,1
232,Contaminant,P250,1,2.43,2,1
233,Exchanger,P250,0,0.56,2,0
234,Iron Clad,P250,1,2.56,2,1
235,Franklin,P250,0,1.75,4,0
236,Hive,P250,1,9.63,2,2
237,Bengal Tiger,P250,0,20.66,2,2
238,Facility Draft,P250,0,0.04,0,0
239,Cartel,P250,1,77.8,4,3
240,Cassette,P250,1,0.64,2,0
241,Drought,P250,0,0.67,0,0
242,Crimson Kimono,P250,0,25.05,1,2
243,Facets,P250,0,25.58,1,2
244,Red Rock,P250,1,25.68,3,2
246,Steel Disruption,P250,1,5.88,2,1
248,Boreal Forest,P250,0,0.12,0,0
249,Visions,P250,1,22.43,4,2
250,Wingshot,P250,1,11.2,3,2
251,Verdigris,P250,1,1.71,2,0
252,Splash,P250,1,121.73,3,3
253,Ripple,P250,1,0.95,2,0
254,Apep's Curse,P250,0,124.29,4,3
255,Gunsmoke,P250,0,33.63,1,3
256,Black & Tan,P250,0,29.4,2,2
257,Valence,P250,1,3.21,2,1
258,Canal Spray,R8 Revolver,0,5.51,0,1
260,Reboot,R8 Revolver,1,14.0,3,2
261,Llama Cannon,R8 Revolver,1,31.96,4,3
262,Memento,R8 Revolver,1,6.33,2,1
263,Grip,R8 Revolver,1,1.02,2,0
264,Inlay,R8 Revolver,0,0.12,0,0
265,Crazy 8,R8 Revolver,1,6.03,3,1
266,Blaze,R8 Revolver,0,1.5,2,0
267,Fade,R8 Revolver,1,75.45,5,3
268,Crimson Web,R8 Revolver,1,22.96,2,2
269,Survivalist,R8 Revolver,1,1.29,2,0
270,Amber Fade,R8 Revolver,0,1.07,4,0
271,Bone Forged,R8 Revolver,1,0.82,2,0
272,Banana Cannon,R8 Revolver,1,5.33,3,1
273,Bone Mask,R8 Revolver,0,0.08,0,0
274,Junk Yard,R8 Revolver,1,1.94,2,1
276,Phoenix Marker,R8 Revolver,0,3.37,1,1
277,Desert Brush,R8 Revolver,0,1.06,0,0
279,Jambiya,Tec-9,1,4.08,2,1
280,Cut Out,Tec-9,1,24.99,2,2
283,Nuclear Threat,Tec-9,0,812.38,3,4
284,Ossified,Tec-9,0,1.36,2,0
285,Remote Control,Tec-9,0,5.67,4,1
286,Bamboozle,Tec-9,1,3.99,3,1
287,Rust Leaf,Tec-9,0,24.34,1,2
288,Fuel Injector,Tec-9,1,39.97,4,3
289,Blast From the Past,Tec-9,0,16.0,2,2
290,Orange Murano,Tec-9,0,9.19,1,2
291,Urban DDPAT,Tec-9,0,0.12,0,0
292,Flash Out,Tec-9,1,1.09,2,0
293,Brass,Tec-9,0,57.53,2,3
294,Cracked Opal,Tec-9,1,1.65,2,0
295,Safety Net,Tec-9,0,1.43,2,0
296,Army Mesh,Tec-9,0,0.04,0,0
297,Isaac,Tec-9,1,25.4,2,2
298,Decimator,Tec-9,1,165.81,4,3
299,Titanium Bit,Tec-9,1,21.07,3,2
300,Hades,Tec-9,0,22.96,1,2
301,Toxic,Tec-9,0,8.28,2,2
302,Ice Cap,Tec-9,1,1.45,2,0
305,Terrace,Tec-9,0,128.12,2,3
307,Bamboo Forest,Tec-9,0,6.71,0,1
308,Mummy's Rot,Tec-9,0,2.41,2,1
309,Rebel,Tec-9,1,1.12,2,0
310,Phoenix Chalk,Tec-9,0,0.68,0,0
311,VariCamo,Tec-9,0,0.16,1,0
313,Avalanche,Tec-9,1,13.79,3,2
314,Re-Entry,Tec-9,1,4.37,3,1
315,Snek-9,Tec-9,1,3.68,2,1
316,Red Quartz,Tec-9,0,0.13,3,0
317,Brother,Tec-9,1,3.98,3,1
318,Forest Leaves,USP-S,0,1.21,1,0
319,Night Ops,USP-S,0,0.52,2,0
320,Cortex,USP-S,1,29.0,4,2
321,Caiman,USP-S,1,150.93,4,3
322,Cyrex,USP-S,1,12.88,3,2
323,Torque,USP-S,1,5.08,2,1
324,Lead Conduit,USP-S,1,22.27,2,2
325,Business Class,USP-S,0,60.91,2,3
326,Stainless,USP-S,1,81.66,2,3
327,Blueprint,USP-S,1,128.06,2,3
328,Guardian,USP-S,1,12.06,3,2
329,Desert Tactical,USP-S,0,0.77,1,0
330,Para Green,USP-S,0,18.45,1,2
331,Overgrowth,USP-S,1,292.31,3,4
332,Target Acquired,USP-S,0,234.72,4,4
333,Kill Confirmed,USP-S,1,557.31,5,4
334,Black Lotus,USP-S,1,44.51,2,3
335,Neo-Noir,USP-S,1,121.57,5,3
336,Serum,USP-S,1,62.12,4,3
339,Orange Anolis,USP-S,0,100.14,3,3
340,The Traitor,USP-S,1,196.71,5,3
341,Purple DDPAT,USP-S,0,17.46,2,2
343,Pathfinder,USP-S,0,28.92,1,2
344,Ancient Visions,USP-S,0,52.94,3,3
345,Orion,USP-S,1,127.41,4,3
346,Royal Blue,USP-S,0,57.9,1,3
347,Flashback,USP-S,1,3.45,3,1
348,Ticket to Hell,USP-S,1,6.39,3,1
349,Monster Mashup,USP-S,1,92.2,4,3
350,Printstream,USP-S,1,305.54,5,4
351,Road Rash,USP-S,0,64.33,3,3
352,Blood Tiger,USP-S,1,11.37,2,2
353,Check Engine,USP-S,0,1.49,2,0
354,Lapis Gator,MAC-10,1,1.89,2,1
356,Disco Tech,MAC-10,1,44.3,4,3
357,Stalker,MAC-10,1,325.43,5,4
359,Neon Rider,MAC-10,1,41.51,5,3
360,Echoing Sands,MAC-10,0,0.76,1,0
361,Commuter,MAC-10,0,137.74,1,3
362,Strats,MAC-10,0,1.07,0,0
363,Oceanic,MAC-10,1,0.72,2,0
364,Copper Borre,MAC-10,0,137.95,2,3
365,Sienna Damask,MAC-10,0,0.71,0,0
366,Red Filigree,MAC-10,0,92.73,3,3
367,Case Hardened,MAC-10,0,95.97,3,3
372,Carnivore,MAC-10,1,2.3,2,1
373,Palm,MAC-10,0,0.21,1,0
374,Pipe Down,MAC-10,1,5.55,3,1
375,Nuclear Garden,MAC-10,0,11.45,2,2
376,Rangeen,MAC-10,1,1.49,2,0
377,Graven,MAC-10,1,119.79,3,3
378,Whitefish,MAC-10,1,2.31,2,1
380,Heat,MAC-10,1,17.61,3,2
381,Tatter,MAC-10,1,17.41,3,2
382,Amber Fade,MAC-10,0,20.49,2,2
383,Button Masher,MAC-10,1,3.05,3,1
384,Last Dive,MAC-10,1,5.98,3,1
385,Calf Skin,MAC-10,0,0.21,1,0
386,Gold Brick,MAC-10,0,71.06,3,3
387,Curse,MAC-10,1,18.95,3,2
388,Urban DDPAT,MAC-10,0,18.58,0,2
389,Allure,MAC-10,1,4.6,3,1
390,Toybox,MAC-10,1,61.56,4,3
391,Surfwood,MAC-10,0,4.6,0,1
392,Malachite,MAC-10,1,9.18,3,2
393,Fade,MAC-10,0,36.73,2,3
394,Classic Crate,MAC-10,1,1.34,2,0
395,Aloha,MAC-10,1,6.39,2,1
396,Ensnared,MAC-10,1,1.1,2,0
397,Hot Snakes,MAC-10,0,241.04,4,4
398,Monkeyflage,MAC-10,1,0.95,2,0
399,Propaganda,MAC-10,0,38.52,4,3
400,Co-Processor,MP5-SD,0,0.56,2,0
402,Dirt Drop,MP5-SD,0,0.07,0,0
403,Necro Jr.,MP5-SD,1,1.01,2,0
404,Oxide Oasis,MP5-SD,0,398.3,4,4
405,Agent,MP5-SD,1,13.9,3,2
406,Acid Wash,MP5-SD,1,4.17,2,1
407,Autumn Twilly,MP5-SD,0,7.57,3,2
408,Condition Zero,MP5-SD,1,4.12,2,1
409,Gauss,MP5-SD,1,3.7,3,1
410,Bamboo Garden,MP5-SD,0,4.39,0,1
411,Kitbash,MP5-SD,1,3.7,3,1
412,Desert Strike,MP5-SD,1,1.23,2,0
413,Phosphor,MP5-SD,1,22.89,4,2
415,Liquidation,MP5-SD,1,1.6,2,0
416,Ocean Foam,MP7,1,7.68,3,2
417,Fade,MP7,0,7.99,3,2
418,Vault Heist,MP7,0,3.16,1,1
419,Gunsmoke,MP7,0,12.45,1,2
420,Urban Hazard,MP7,1,0.82,2,0
421,Asterion,MP7,0,5.73,0,1
423,Forest DDPAT,MP7,0,0.06,0,0
424,Cirrus,MP7,1,2.42,2,1
426,Abyssal Apparition,MP7,1,17.84,4,2
427,Neon Ply,MP7,1,13.94,3,2
428,Tall Grass,MP7,0,3.36,1,1
429,Motherboard,MP7,0,0.1,1,0
430,Special Delivery,MP7,1,9.69,3,2
431,Impire,MP7,1,9.18,3,2
432,Teal Blossom,MP7,0,98.82,2,3
434,Akoben,MP7,1,1.2,2,0
435,Bloodsport,MP7,1,15.79,5,2
436,Nemesis,MP7,1,36.95,4,3
437,Olive Plaid,MP7,0,3.68,0,1
438,Guerrilla,MP7,1,4.01,2,1
439,Armor Core,MP7,1,0.78,2,0
441,Prey,MP7,0,1.08,0,0
442,Scorched,MP7,0,8.47,0,2
443,Sunbaked,MP7,0,0.14,0,0
444,Powercore,MP7,1,6.98,3,1
445,Orange Peel,MP7,0,13.52,1,2
447,Army Recon,MP7,0,0.05,0,0
449,Full Stop,MP7,0,31.38,2,3
450,Sand Scale,MP9,1,1.17,2,0
452,Capillary,MP9,1,1.82,2,1
453,Hypnotic,MP9,1,31.25,3,3
454,Stained Glass,MP9,0,131.65,3,3
455,Orange Peel,MP9,0,0.28,1,0
456,Ruby Poison Dart,MP9,1,7.0,3,1
457,Featherweight,MP9,1,1.39,2,0
458,Modest Threat,MP9,1,0.88,2,0
459,Mount Fuji,MP9,1,28.54,3,2
460,Airlock,MP9,1,24.56,4,2
461,Army Sheen,MP9,0,0.81,0,0
463,Deadly Poison,MP9,1,5.43,2,1
464,Dark Age,MP9,0,127.78,2,3
465,Sand Dashed,MP9,0,0.09,0,0
466,Green Plaid,MP9,0,4.48,0,1
467,Starlight Protector,MP9,1,64.89,5,3
468,Music Box,MP9,0,17.48,2,2
469,Bioleak,MP9,1,1.34,2,0
470,Pandora's Box,MP9,0,166.44,2,3
471,Old Roots,MP9,0,5.48,1,1
472,Slide,MP9,0,0.07,0,0
473,Food Chain,MP9,1,25.03,4,2
474,Black Sand,MP9,1,1.02,2,0
476,Dry Season,MP9,0,53.78,0,3
477,Setting Sun,MP9,0,11.19,2,2
479,Goo,MP9,1,4.36,3,1
480,Dart,MP9,1,2.5,2,1
481,Rose Iron,MP9,1,17.02,3,2
482,Hydra,MP9,1,42.87,4,3
483,Night Riot,PP-Bizon,1,0.78,2,0
484,Rust Coat,PP-Bizon,0,26.79,2,2
485,Night Ops,PP-Bizon,0,0.1,1,0
486,Lumen,PP-Bizon,1,4.09,2,1
487,Urban Dashed,PP-Bizon,0,0.09,0,0
488,Antique,PP-Bizon,1,19.19,3,2
489,Brass,PP-Bizon,0,2.28,2,1
491,Space Cat,PP-Bizon,1,2.84,3,1
492,Osiris,PP-Bizon,1,4.79,3,1
493,Cobalt Halftone,PP-Bizon,1,4.81,2,1
494,Blue Streak,PP-Bizon,1,25.09,3,2
495,Runic,PP-Bizon,1,1.07,2,0
496,Photic Zone,PP-Bizon,1,5.12,2,1
497,Facility Sketch,PP-Bizon,0,0.04,0,0
498,Jungle Slipstream,PP-Bizon,1,0.91,2,0
499,High Roller,PP-Bizon,1,32.45,4,3
500,Water Sigil,PP-Bizon,1,5.68,2,1
501,Breaker Box,PP-Bizon,0,3.69,1,1
502,Anolis,PP-Bizon,0,0.75,0,0
503,Irradiated Alert,PP-Bizon,0,27.85,0,2
504,Embargo,PP-Bizon,1,15.89,3,2
506,Harvester,PP-Bizon,1,1.77,2,1
507,Carbon Fiber,PP-Bizon,0,13.99,1,2
508,Fuel Rod,PP-Bizon,1,11.37,3,2
509,Judgement of Anubis,PP-Bizon,1,44.51,5,3
510,Forest Leaves,PP-Bizon,0,33.29,0,3
511,Bamboo Print,PP-Bizon,0,5.04,0,1
512,Modern Hunter,PP-Bizon,0,155.84,2,3
514,Sand Dashed,PP-Bizon,0,0.07,0,0
517,Ash Wood,P90,0,0.16,1,0
518,Chopper,P90,1,5.78,3,1
519,Ancient Earth,P90,0,0.75,0,0
520,Virus,P90,1,32.45,3,3
521,Verdant Growth,P90,0,3.51,1,1
522,Shallow Grave,P90,1,17.84,4,2
523,Glacier Mesh,P90,0,25.01,2,2
524,Leather,P90,0,18.07,1,2
525,Asiimov,P90,1,193.84,5,3
526,Astral Jörmungandr,P90,0,346.58,3,4
527,Emerald Dragon,P90,1,1422.67,4,4
528,Death Grip,P90,1,35.52,3,3
529,Shapewood,P90,1,37.15,4,3
530,Teardown,P90,0,0.51,2,0
531,Freight,P90,1,0.88,2,0
532,Grim,P90,1,2.48,2,1
534,Module,P90,1,3.31,2,1
535,Elite Build,P90,1,5.73,2,1
536,ScaraB Rush,P90,0,13.39,3,2
537,Blind Spot,P90,1,22.25,3,2
538,Tiger Pit,P90,0,14.78,2,2
539,Scorched,P90,0,8.45,0,2
540,Sand Spray,P90,0,0.08,0,0
541,Desert Warfare,P90,1,14.9,2,2
542,Sunset Lily,P90,0,25.91,1,2
543,Vent Rush,P90,1,4.41,3,1
544,Traction,P90,1,4.59,2,1
545,Run and Hide,P90,0,335.17,4,4
546,Cold Blooded,P90,1,91.83,4,3
547,Schematic,P90,0,13.97,2,2
548,Facility Negative,P90,0,0.56,2,0
549,Neoqueen,P90,1,4.21,3,1
550,Fallout Warning,P90,0,275.49,1,4
551,Baroque Red,P90,0,32.33,2,3
553,Cocoa Rampage,P90,1,2.29,2,1
554,Off World,P90,1,1.75,2,0
555,Desert DDPAT,P90,0,1.06,0,0
556,Nostalgia,P90,1,26.15,4,2
557,Roadblock,UMP-45,1,0.92,2,0
558,Corporal,UMP-45,1,1.39,2,0
559,Mechanism,UMP-45,0,4.23,1,1
560,Momentum,UMP-45,1,20.39,4,2
561,Exposure,UMP-45,1,3.32,3,1
562,Scorched,UMP-45,0,5.0,0,1
563,Fallout Warning,UMP-45,0,107.76,1,3
564,Oscillator,UMP-45,1,1.55,2,0
565,Plastique,UMP-45,1,4.71,3,1
566,Gunsmoke,UMP-45,0,0.18,1,0
567,Wild Child,UMP-45,1,31.14,4,3
568,Riot,UMP-45,1,1.33,2,0
569,Delusion,UMP-45,1,4.65,2,1
571,Full Stop,UMP-45,0,1.59,2,0
572,Fade,UMP-45,0,582.47,4,4
573,Bone Pile,UMP-45,1,34.94,2,3
574,Carbon Fiber,UMP-45,0,0.14,1,0
575,Metal Flowers,UMP-45,1,6.28,2,1
576,Briefing,UMP-45,1,1.31,2,0
577,Arctic Wolf,UMP-45,1,3.68,3,1
578,Blaze,UMP-45,0,18.37,2,2
580,Urban DDPAT,UMP-45,0,0.09,0,0
581,Mudder,UMP-45,0,0.06,0,0
584,Labyrinth,UMP-45,1,0.85,2,0
585,Scaffold,UMP-45,1,7.65,3,2
586,Day Lily,UMP-45,0,96.67,2,3
587,Facility Dark,UMP-45,0,0.04,0,0
588,Gold Bismuth,UMP-45,1,11.16,3,2
589,Moonrise,UMP-45,1,3.33,3,1
590,Crime Scene,UMP-45,0,94.02,3,3
591,Minotaur's Labyrinth,UMP-45,0,120.52,2,3
592,Houndstooth,UMP-45,0,3.12,1,1
593,Primal Saber,UMP-45,1,21.87,4,2
594,Metallic DDPAT,MAG-7,0,0.15,1,0
595,Counter Terrace,MAG-7,0,120.55,2,3
596,Cinquedea,MAG-7,0,813.75,4,4
597,Memento,MAG-7,1,8.98,2,2
598,Firestarter,MAG-7,1,12.89,2,2
599,Popdog,MAG-7,1,0.91,2,0
600,Navy Sheen,MAG-7,0,0.68,0,0
601,Hard Water,MAG-7,1,5.86,2,1
603,Copper Coated,MAG-7,0,2.29,2,1
604,SWAG-7,MAG-7,1,4.48,3,1
606,Rust Coat,MAG-7,0,0.06,0,0
607,Heat,MAG-7,1,8.59,3,2
608,Hazard,MAG-7,0,148.74,2,3
609,Insomnia,MAG-7,1,0.98,2,0
610,Carbon Fiber,MAG-7,0,4.28,1,1
611,Justice,MAG-7,1,29.76,4,2
612,Core Breach,MAG-7,0,4.84,3,1
613,Praetorian,MAG-7,1,9.86,3,2
614,Monster Call,MAG-7,1,4.87,3,1
615,Foresight,MAG-7,1,0.65,2,0
616,Irradiated Alert,MAG-7,0,21.85,0,2
619,BI83 Spectrum,MAG-7,1,6.96,3,1
620,Prism Terrace,MAG-7,0,52.56,3,3
621,Sonar,MAG-7,1,1.3,2,0
622,Cobalt Core,MAG-7,1,1.51,2,0
623,Petroglyph,MAG-7,1,4.13,3,1
624,Chainmail,MAG-7,0,28.94,1,2
625,Heaven Guard,MAG-7,1,1.25,2,0
627,Baroque Orange,Nova,0,102.87,3,3
628,Mandrel,Nova,0,0.04,0,0
629,Red Quartz,Nova,0,8.66,3,2
630,Modern Hunter,Nova,0,294.24,2,4
631,Caged Steel,Nova,0,0.14,1,0
632,Wood Fired,Nova,1,0.68,2,0
633,Tempest,Nova,1,29.83,2,2
635,Blaze Orange,Nova,0,927.31,2,4
636,Koi,Nova,1,4.49,3,1
637,Plume,Nova,1,3.98,2,1
638,Windblown,Nova,1,1.61,2,0
639,Bloomstick,Nova,1,276.32,4,4
640,Antique,Nova,1,28.74,4,2
642,Graphite,Nova,1,35.19,3,3
643,Moon in Libra,Nova,0,5.37,0,1
645,Predator,Nova,0,0.09,0,0
646,Interlock,Nova,0,14.67,2,2
648,Quick Sand,Nova,0,29.94,2,2
649,Clear Polymer,Nova,1,11.46,3,2
650,Walnut,Nova,0,20.08,0,2
651,Rust Coat,Nova,0,3.38,1,1
652,Forest Leaves,Nova,0,34.95,0,3
653,Army Sheen,Nova,0,0.69,0,0
654,Hyper Beast,Nova,1,72.31,4,3
655,Ranger,Nova,1,1.92,2,1
656,Toy Soldier,Nova,1,9.38,3,2
657,Rising Skull,Nova,1,16.47,3,2
658,Wild Six,Nova,1,3.32,3,1
659,Gila,Nova,1,3.19,3,1
